Wall time,Step,Value
1755684613.586262,2048,958417.875
1755684618.4737525,4096,544057.875
1755684623.4000397,6144,802847.5
1755684628.3283908,8192,1049070.0
1755684633.244064,10240,1424171.875
1755684638.1256258,12288,498433.71875
1755684643.0013719,14336,674578.75
1755684647.8860192,16384,1113701.25
1755684652.7503374,18432,1390362.125
1755684657.607989,20480,834154.0
1755684662.4668639,22528,556125.875
1755684667.32512,24576,803577.5
1755684672.2077029,26624,1502808.125
1755684677.0595012,28672,958310.625
1755684681.9016683,30720,410769.21875
1755684686.729224,32768,743454.75
1755684691.554594,34816,1362473.875
1755684696.40684,36864,1201102.25
1755684701.2569158,38912,465930.78125
1755684706.0924408,40960,730586.4375
1755684710.9551148,43008,1081329.5
1755684715.8553932,45056,1346364.125
1755684720.7446527,47104,543403.125
1755684725.582332,49152,565586.25
1755684730.4423993,51200,879113.5625
1755684735.3343747,53248,1417598.625
1755684740.211721,55296,774295.125
1755684745.069925,57344,429362.96875
1755684749.9210691,59392,841946.1875
1755684754.8035924,61440,1291272.875
1755684759.658073,63488,886288.375
1755684764.5266623,65536,582475.1875
1755684769.3786952,67584,773228.75
1755684774.204721,69632,1275252.375
1755684779.075188,71680,1246019.5
1755684783.9484568,73728,578379.875
1755684788.7974942,75776,561087.5
1755684793.6291249,77824,967864.5625
1755684798.5067277,79872,1417825.125
1755684803.3363662,81920,677693.0
1755684808.2115266,83968,638734.0
1755684813.0446374,86016,749384.25
