Wall time,Step,Value
1755629677.3778028,0,-111.67452239990234
1755629698.3789485,1,-110.77348327636719
1755629719.5325668,2,-110.07076263427734
1755629740.8247406,3,-109.76526641845703
1755629761.702731,4,-109.56092071533203
1755629782.8073728,5,-109.3782730102539
1755629803.7529209,6,-109.33137512207031
1755629824.6285598,7,-109.2153549194336
1755629845.5722826,8,-109.20947265625
1755629866.358299,9,-109.1729965209961
1755629887.2672353,10,-109.17594909667969
1755629908.154744,11,-109.1865463256836
1755629928.942246,12,-109.16385650634766
1755629950.0530865,13,-109.193359375
1755629971.4177098,14,-109.19561004638672
1755629993.1189346,15,-109.20072174072266
1755630014.4618738,16,-109.18915557861328
1755630035.9859724,17,-109.21450805664062
1755630057.3151147,18,-109.19093322753906
1755630078.5049767,19,-109.1942138671875
1755630099.5617628,20,-109.17176818847656
1755630120.7376254,21,-109.18683624267578
1755630140.9891987,22,-109.18550872802734
1755630161.833208,23,-109.2115478515625
1755630183.3790379,24,-109.16387176513672
