Wall time,Step,Value
1755685474.2351153,2048,10042200064.0
1755685479.2008545,4096,6654619648.0
1755685484.1415331,6144,3427250688.0
1755685489.0411072,8192,6587478016.0
1755685493.9458768,10240,4482381824.0
1755685498.8375466,12288,1808763392.0
1755685503.773365,14336,1490437120.0
1755685508.6448543,16384,48517898240.0
1755685513.5669453,18432,30545790976.0
1755685518.4985518,20480,15523606528.0
1755685523.4230764,22528,3248149504.0
1755685528.3396451,24576,4246078720.0
1755685533.2518196,26624,5257453568.0
1755685538.16425,28672,3547896320.0
1755685543.07686,30720,1212961408.0
1755685547.9820085,32768,3434385920.0
1755685552.914101,34816,5293940736.0
1755685557.856172,36864,3072115712.0
1755685562.7906806,38912,1154795776.0
1755685567.7187047,40960,3968606208.0
1755685572.642812,43008,6265205760.0
1755685577.5979977,45056,4022032128.0
1755685582.4981763,47104,1867041280.0
1755685587.4258878,49152,808862912.0
1755685592.3590088,51200,1864260864.0
1755685597.314646,53248,2957739008.0
1755685602.2468848,55296,1850458112.0
1755685607.1236346,57344,1012170496.0
1755685612.0497768,59392,1476479488.0
1755685616.991145,61440,3183283200.0
1755685621.919096,63488,2218283008.0
1755685626.8296373,65536,1115273984.0
1755685631.7492578,67584,1041616128.0
1755685636.715789,69632,2712798208.0
1755685641.7147563,71680,2958575104.0
1755685646.6650198,73728,1334274432.0
1755685651.6214783,75776,3718295552.0
1755685656.5796468,77824,6951455744.0
1755685661.56345,79872,8248288768.0
1755685666.4607775,81920,4426990592.0
1755685671.3801916,83968,7365886464.0
1755685676.319954,86016,1466884096.0
1755685681.304549,88064,2981981184.0
1755685686.235095,90112,2315598080.0
1755685691.1426234,92160,995674880.0
1755685696.070921,94208,3629307648.0
1755685701.002532,96256,6420921344.0
1755685705.9328897,98304,5733490688.0
1755685710.838062,100352,3382037504.0
1755685715.746055,102400,1363591680.0
1755685720.6558988,104448,2435849472.0
1755685725.6260211,106496,3854245888.0
1755685730.5284042,108544,1830297344.0
1755685735.4270027,110592,7658123776.0
1755685740.3504853,112640,1944823040.0
1755685745.295794,114688,3022569728.0
1755685750.2064047,116736,1759997184.0
1755685755.1188562,118784,979908416.0
1755685760.0087273,120832,34261819392.0
1755685764.9262993,122880,32357306368.0
1755685769.7838182,124928,36558467072.0
1755685774.68035,126976,21506988032.0
1755685779.566264,129024,27896631296.0
1755685784.4866693,131072,11065335808.0
1755685789.4431012,133120,9735709696.0
1755685794.3380854,135168,4008384512.0
1755685799.2344823,137216,1126954496.0
1755685804.1661203,139264,2209393408.0
1755685809.1284764,141312,2976344064.0
1755685814.0281212,143360,1718029312.0
1755685818.9367027,145408,911214144.0
1755685823.8403888,147456,1745049472.0
1755685828.8016121,149504,7834207232.0
1755685833.6943157,151552,3919724544.0
1755685838.6058004,153600,1134923264.0
1755685843.5158951,155648,1392202368.0
1755685848.4574335,157696,10623322112.0
1755685853.3977585,159744,6213843968.0
1755685858.308591,161792,1115717376.0
1755685863.2166827,163840,1289860352.0
1755685868.1480215,165888,2608999936.0
1755685873.092209,167936,2964715008.0
1755685878.0052185,169984,1250159104.0
1755685882.9124854,172032,901819264.0
1755685887.836623,174080,2198805760.0
1755685892.810057,176128,2998611968.0
1755685897.7471862,178176,1815938304.0
1755685902.6296816,180224,995056960.0
1755685907.497685,182272,6220704768.0
1755685912.4458852,184320,10609490944.0
1755685917.3705,186368,8397019136.0
1755685922.3085332,188416,4049065472.0
1755685927.2086742,190464,2676989952.0
1755685932.1042943,192512,3041050880.0
1755685937.0649614,194560,2821380096.0
1755685942.0303643,196608,1563041280.0
1755685946.9333658,198656,1126749824.0
1755685951.8259459,200704,2625378560.0
1755685956.7932944,202752,9938229248.0
1755685961.659522,204800,1749013120.0
1755685966.5819805,206848,1043403776.0
1755685971.4314187,208896,45476626432.0
1755685976.314721,210944,72027275264.0
1755685981.1879156,212992,48039989248.0
1755685986.0806968,215040,17907640320.0
1755685990.9940538,217088,1469042944.0
